"source_file","output_avif_file","original_file_size_bytes","avif_file_size_bytes","status","notes"
"assets/images/.DS_Store","","10244","","skipped_unsupported","Unsupported extension: (none)"
"assets/images/accommodation/IMG_3551.HEIC","assets/images/accommodation/bedroom-garden-view-01.avif","2342188","1983764","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3552.HEIC","assets/images/accommodation/bedroom-garden-view-02.avif","2475372","2022444","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3553.HEIC","assets/images/accommodation/bedroom-lounge-area-01.avif","2077188","1620420","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3556.heic","assets/images/accommodation/bedroom-chair-01.avif","2458701","1806654","converted_validated","Dimensions preserved at 5712×4284."
"assets/images/accommodation/IMG_3558.heic","assets/images/accommodation/bedroom-sofa-01.avif","1160956","864330","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3559.heic","assets/images/accommodation/bed-detail-01.avif","1129166","790085","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3561.HEIC","assets/images/accommodation/bedroom-garden-view-03.avif","2323389","1900520","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3562.heic","assets/images/accommodation/garden-view-from-bedroom-01.avif","1635692","1114756","converted_validated","Dimensions preserved at 5491×4118."
"assets/images/accommodation/IMG_3563.HEIC","assets/images/accommodation/dark-tile-bathroom-01.avif","2164692","1544616","converted_validated","Dimensions preserved at 3681×2761."
"assets/images/accommodation/IMG_3564.HEIC","assets/images/accommodation/dark-tile-double-vanity-01.avif","2133334","1783868","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3565.HEIC","assets/images/accommodation/dark-tile-toilet-01.avif","1828777","1486213","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3566.HEIC","assets/images/accommodation/dark-tile-shower-amenities-01.avif","1960850","1520663","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3620.HEIC","assets/images/accommodation/blue-bedroom-01.avif","2366067","2024151","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3623.heic","assets/images/accommodation/blue-bed-detail-01.avif","772203","498930","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3624.HEIC","assets/images/accommodation/blue-bedroom-entry-01.avif","1635139","1173043","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3626.HEIC","assets/images/accommodation/brown-bedroom-01.avif","2395261","2060502","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3627.heic","assets/images/accommodation/brown-bed-detail-01.avif","1426374","1077202","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3629.heic","assets/images/accommodation/brown-bedroom-entry-01.avif","1291782","929914","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3630.HEIC","assets/images/accommodation/burgundy-bedroom-01.avif","2026783","1687647","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3631.HEIC","assets/images/accommodation/burgundy-bedroom-lounge-01.avif","2086273","1681319","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3632.HEIC","assets/images/accommodation/burgundy-bedroom-02.avif","1494951","1118237","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3633.heic","assets/images/accommodation/burgundy-bed-detail-01.avif","1037441","584730","converted_validated","Dimensions preserved at 3876×2907."
"assets/images/accommodation/IMG_3634.heic","assets/images/accommodation/burgundy-bedroom-garden-view-01.avif","1641507","1092752","converted_validated","Dimensions preserved at 3890×2918."
"assets/images/accommodation/IMG_3635.heic","assets/images/accommodation/burgundy-bedroom-wall-art-01.avif","1231114","841714","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3636.heic","assets/images/accommodation/room-number-003-01.avif","1095518","709138","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3637.HEIC","assets/images/accommodation/twin-bedroom-01.avif","1119826","782751","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3638.heic","assets/images/accommodation/twin-bedroom-wall-art-01.avif","1375051","938532","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3639.heic","assets/images/accommodation/twin-bedroom-patio-01.avif","1798188","1286627","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3642.heic","assets/images/accommodation/room-number-006-01.avif","605552","184759","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3643.heic","assets/images/accommodation/white-bathroom-bathtub-01.avif","2200738","1524735","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3644.heic","assets/images/accommodation/white-bathroom-double-vanity-01.avif","1835067","986267","converted_validated","Dimensions preserved at 5712×4284."
"assets/images/accommodation/IMG_3645.HEIC","assets/images/accommodation/white-bathroom-shower-01.avif","1735007","1301332","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/accommodation/IMG_3646.heic","assets/images/accommodation/white-bathroom-amenities-01.avif","570203","163533","converted_validated","Dimensions preserved at 4032×3024."
