"old_file","new_file","visible_content"
"assets/images/accommodation/IMG_3551.avif","assets/images/accommodation/bedroom-garden-view-01.avif","Bedroom with garden view"
"assets/images/accommodation/IMG_3552.avif","assets/images/accommodation/bedroom-garden-view-02.avif","Bedroom with garden view"
"assets/images/accommodation/IMG_3553.avif","assets/images/accommodation/bedroom-lounge-area-01.avif","Bedroom lounge area"
"assets/images/accommodation/IMG_3556.avif","assets/images/accommodation/bedroom-chair-01.avif","Upholstered bedroom chair"
"assets/images/accommodation/IMG_3558.avif","assets/images/accommodation/bedroom-sofa-01.avif","Bedroom sofa"
"assets/images/accommodation/IMG_3559.avif","assets/images/accommodation/bed-detail-01.avif","Bed and cushions detail"
"assets/images/accommodation/IMG_3561.avif","assets/images/accommodation/bedroom-garden-view-03.avif","Bedroom with garden view"
"assets/images/accommodation/IMG_3562.avif","assets/images/accommodation/garden-view-from-bedroom-01.avif","Garden viewed from bedroom"
"assets/images/accommodation/IMG_3563.avif","assets/images/accommodation/dark-tile-bathroom-01.avif","Dark tiled bathroom"
"assets/images/accommodation/IMG_3564.avif","assets/images/accommodation/dark-tile-double-vanity-01.avif","Double vanity with dark tiles"
"assets/images/accommodation/IMG_3565.avif","assets/images/accommodation/dark-tile-toilet-01.avif","Toilet with dark tiled walls"
"assets/images/accommodation/IMG_3566.avif","assets/images/accommodation/dark-tile-shower-amenities-01.avif","Shower amenities against dark tiles"
"assets/images/accommodation/IMG_3620.avif","assets/images/accommodation/blue-bedroom-01.avif","Bedroom with blue accents"
"assets/images/accommodation/IMG_3623.avif","assets/images/accommodation/blue-bed-detail-01.avif","Blue bed linen detail"
"assets/images/accommodation/IMG_3624.avif","assets/images/accommodation/blue-bedroom-entry-01.avif","Entry view of blue bedroom"
"assets/images/accommodation/IMG_3626.avif","assets/images/accommodation/brown-bedroom-01.avif","Bedroom with brown accents"
"assets/images/accommodation/IMG_3627.avif","assets/images/accommodation/brown-bed-detail-01.avif","Brown bed linen detail"
"assets/images/accommodation/IMG_3629.avif","assets/images/accommodation/brown-bedroom-entry-01.avif","Entry view of brown bedroom"
"assets/images/accommodation/IMG_3630.avif","assets/images/accommodation/burgundy-bedroom-01.avif","Bedroom with burgundy accents"
"assets/images/accommodation/IMG_3631.avif","assets/images/accommodation/burgundy-bedroom-lounge-01.avif","Lounge area in burgundy bedroom"
"assets/images/accommodation/IMG_3632.avif","assets/images/accommodation/burgundy-bedroom-02.avif","Bedroom with burgundy accents"
"assets/images/accommodation/IMG_3633.avif","assets/images/accommodation/burgundy-bed-detail-01.avif","Burgundy bed linen detail"
"assets/images/accommodation/IMG_3634.avif","assets/images/accommodation/burgundy-bedroom-garden-view-01.avif","Burgundy bedroom with garden view"
"assets/images/accommodation/IMG_3635.avif","assets/images/accommodation/burgundy-bedroom-wall-art-01.avif","Wall art in burgundy bedroom"
"assets/images/accommodation/IMG_3636.avif","assets/images/accommodation/room-number-003-01.avif","Door sign for room 003"
"assets/images/accommodation/IMG_3637.avif","assets/images/accommodation/twin-bedroom-01.avif","Twin bedroom"
"assets/images/accommodation/IMG_3638.avif","assets/images/accommodation/twin-bedroom-wall-art-01.avif","Wall art in twin bedroom"
"assets/images/accommodation/IMG_3639.avif","assets/images/accommodation/twin-bedroom-patio-01.avif","Twin bedroom opening to patio"
"assets/images/accommodation/IMG_3642.avif","assets/images/accommodation/room-number-006-01.avif","Door sign for room 006"
"assets/images/accommodation/IMG_3643.avif","assets/images/accommodation/white-bathroom-bathtub-01.avif","White bathroom bathtub"
"assets/images/accommodation/IMG_3644.avif","assets/images/accommodation/white-bathroom-double-vanity-01.avif","White bathroom double vanity"
"assets/images/accommodation/IMG_3645.avif","assets/images/accommodation/white-bathroom-shower-01.avif","White bathroom shower"
"assets/images/accommodation/IMG_3646.avif","assets/images/accommodation/white-bathroom-amenities-01.avif","White bathroom amenities"
"assets/images/accommodation/IMG_3647.avif","assets/images/accommodation/toilet-sign-01.avif","Toilet direction sign"
"assets/images/dining/IMG_3554.avif","assets/images/dining/kettle-and-glasses-01.avif","Kettle and drinking glasses"
"assets/images/dining/IMG_3649.avif","assets/images/dining/kitchen-cooktop-01.avif","Kitchen cooktop and counter"
"assets/images/dining/IMG_3650.avif","assets/images/dining/kitchen-cabinetry-01.avif","Kitchen cabinetry and oven"
"assets/images/dining/IMG_3651.avif","assets/images/dining/glassware-cabinet-01.avif","Glassware in cabinet"
"assets/images/dining/IMG_3652.avif","assets/images/dining/breakfast-appliances-01.avif","Coffee machine toaster and kettle"
"assets/images/dining/IMG_3653.avif","assets/images/dining/sweetener-bowl-01.avif","Packets in wooden serving bowl"
"assets/images/dining/IMG_3656.avif","assets/images/dining/kitchen-island-01.avif","Kitchen island opening toward terrace"
"assets/images/dining/IMG_3657.avif","assets/images/dining/kitchen-sink-01.avif","Kitchen sink and counter"
"assets/images/dining/IMG_3658.avif","assets/images/dining/kitchen-island-stools-01.avif","Kitchen island with stools"
"assets/images/dining/IMG_3659.avif","assets/images/dining/kitchen-wide-view-01.avif","Wide view of kitchen"
"assets/images/exterior/1156b67d-cb37-43c3-8aeb-f5eb821954c1.jpeg.avif","assets/images/exterior/aerial-estate-view-01.avif","Aerial view of estate and landscape"
"assets/images/exterior/2e6cbb89-1e62-4b14-b450-0ab43dcaccd4.avif","assets/images/exterior/aerial-pool-view-01.avif","Aerial view of pool and lawn"
"assets/images/exterior/41689d77-c3b3-48de-abec-d9521c9760d8.jpeg.avif","assets/images/exterior/garden-patio-table-01.avif","Garden patio dining table"
"assets/images/exterior/45dc761b-0c17-490c-a297-2fc6404ea04a.jpeg.avif","assets/images/exterior/swimming-pool-view-01.avif","Swimming pool facing lawn and harbour"
"assets/images/exterior/51bd6648-54ea-48d2-a9c7-5c6c6cdd41f6.jpeg.avif","assets/images/exterior/aerial-garden-pond-01.avif","Aerial view of garden pond"
"assets/images/exterior/63f5cf98-94ed-491b-b75f-438956f5533b.jpeg.avif","assets/images/exterior/swimming-pool-view-02.avif","Swimming pool with umbrellas and lawn"
"assets/images/exterior/6f97e9a8-0f2c-4961-96f3-1d0a93475b32.png.avif","assets/images/exterior/garden-pond-and-estate-01.avif","Garden pond bridge and estate"
"assets/images/exterior/9.avif","assets/images/exterior/aerial-estate-view-02.avif","Aerial view of estate and landscape"
"assets/images/exterior/ac7e7fe1-152c-4727-95cd-3b1664bedc3f.jpeg.avif","assets/images/exterior/pool-and-harbour-view-01.avif","Pool overlooking harbour"
"assets/images/exterior/b4ce14d4-6001-4f1d-9853-f3cd1a8a8ea9.png.avif","assets/images/exterior/aerial-estate-overhead-01.avif","Overhead view of estate and gardens"
"assets/images/exterior/e6863bb7-bb8d-4acb-a8bc-b0a8cab90c99.jpeg.avif","assets/images/exterior/harbour-sailboats-01.avif","Sailboats in harbour"
"assets/images/exterior/fd2c20fe-4b43-43ba-a6dd-80bef5a1a909.jpeg.avif","assets/images/exterior/garden-harbour-view-01.avif","Garden and pond facing harbour"
"assets/images/exterior/home-hero.jpeg.avif","assets/images/exterior/aerial-estate-hero-01.avif","Aerial estate and garden view"
"assets/images/interiors/02143fcf-55c0-4fb9-96e6-7fe9e24fdcd1.avif","assets/images/interiors/living-room-wide-01.avif","Wide living room view"
"assets/images/interiors/0f6370ce-8318-4fdb-92b2-65efc7cf5192.avif","assets/images/interiors/persimmon-branch-vase-01.avif","Persimmon branches in glass vase"
"assets/images/interiors/8ca67fb2-3d2d-4dc2-8e31-a787d8f7cefb.jpeg.avif","assets/images/interiors/entrance-seating-01.avif","Chairs beside entrance"
"assets/images/interiors/IMG_3613.avif","assets/images/interiors/living-room-seating-01.avif","Living room seating area"
"assets/images/interiors/IMG_3614.avif","assets/images/interiors/piano-and-fireplace-01.avif","Piano beside fireplace"
"assets/images/interiors/IMG_3616.avif","assets/images/interiors/living-room-television-01.avif","Living room television wall"
"assets/images/interiors/IMG_3617.avif","assets/images/interiors/sofa-garden-view-01.avif","Sofa facing garden doors"
"assets/images/interiors/IMG_3618.avif","assets/images/interiors/persimmon-branch-vase-02.avif","Persimmon branches in glass vase"
"assets/images/interiors/IMG_3619.avif","assets/images/interiors/hallway-clock-01.avif","Wall clock in hallway"
"assets/images/interiors/IMG_3648.avif","assets/images/interiors/telescope-01.avif","Telescope by window"
"assets/images/interiors/IMG_3655.avif","assets/images/interiors/living-room-wide-02.avif","Wide living room view"
"assets/images/interiors/IMG_3660.avif","assets/images/interiors/living-room-coffee-table-01.avif","Living room coffee table and seating"
"assets/images/interiors/IMG_3661.avif","assets/images/interiors/record-player-01.avif","Green horn record player"
"assets/images/interiors/IMG_9572.avif","assets/images/interiors/decorative-chest-01.avif","Decorative wooden chest"
"assets/images/tea-room/IMG_0619.avif","assets/images/tea-room/tea-ceremony-01.avif","Tea ceremony with host and guest"
"assets/images/tea-room/IMG_0694.avif","assets/images/tea-room/tea-pouring-detail-01.avif","Close view of tea being poured"
"assets/images/tea-room/IMG_0695.avif","assets/images/tea-room/tea-ceremony-02.avif","Tea ceremony with host and guest"
